TimeStamp,Decoded Data,RSSI,SNR (LSNR),Throughput (bps),Latency (s)
2025-01-02 10:36:52.688,1;2025-01-02 10:36:51.670469;,-93,1.0,1.78246182911421,5.14820098876953
2025-01-02 10:37:08.286,1;2025-01-02 10:37:03.690773;,-103,-1.5,14.8733268227147,5.14519953727722
2025-01-02 10:41:28.655,1;2025-01-02 10:41:25.078966;,-98,-4.8,0.891044815826472,5.14278078079223
2025-01-02 10:42:20.505,1;2025-01-02 10:42:16.149808;,-107,-0.5,4.47445893879457,5.14770865440368
2025-01-02 10:42:56.744,1;2025-01-02 10:42:52.211834;,-107,-0.8,6.40192992413009,5.14496231079101
2025-01-02 10:43:33.247,1;2025-01-02 10:43:31.260873;,-101,-4.5,6.35568326131405,5.1983585357666
2025-01-02 10:44:09.646,1;2025-01-02 10:44:07.323429;,-94,4.2,6.37372630082168,5.14143204689025
2025-01-02 10:44:14.840,1;2025-01-02 10:44:13.335326;,-104,0.8,44.6648730860317,5.1511206626892
2025-01-02 10:44:19.999,1;2025-01-02 10:44:19.347017;,-105,-1.2,44.9733958768963,5.14287495613098
2025-01-02 10:45:11.911,1;2025-01-02 10:45:10.417313;,-105,2.0,4.46912586382827,5.14807868003845
2025-01-02 10:45:37.759,1;2025-01-02 10:45:34.460834;,-98,5.5,8.97544213744388,5.15311384201049
2025-01-02 10:45:48.183,1;2025-01-02 10:45:46.482840;,-104,-1.0,22.2555083884602,5.197114944458
2025-01-02 10:45:53.353,1;2025-01-02 10:45:52.494054;,-103,-2.8,44.8752776866074,5.15933418273925
2025-01-02 10:46:30.180,1;2025-01-02 10:46:25.532684;,-103,1.8,6.29964146085506,5.78867363929748
2025-01-02 10:46:40.595,1;2025-01-02 10:46:37.553922;,-107,1.5,22.2761755932476,5.14514279365539
2025-01-02 10:47:22.223,1;2025-01-02 10:47:19.626454;,-107,-0.5,5.5731943083435,5.16077589988708
2025-01-02 10:47:53.283,1;2025-01-02 10:47:52.659454;,-105,-2.0,7.46948962033522,5.14441633224487
2025-01-02 10:48:29.672,1;2025-01-02 10:48:28.724165;,-97,0.2,6.3755499712953,5.14994716644287
2025-01-02 10:48:45.282,1;2025-01-02 10:48:40.746180;,-103,0.2,14.8621645935136,5.13744330406189
2025-01-02 10:50:24.361,1;2025-01-02 10:50:22.883219;,-107,2.2,2.34157194615457,5.20881962776184
2025-01-02 10:50:45.025,1;2025-01-02 10:50:40.914854;,-107,1.5,11.227213140682,5.14842748641967
2025-01-02 10:52:08.670,1;2025-01-02 10:52:08.050179;,-101,5.5,2.77361873909912,5.1554684638977
2025-01-02 10:53:00.639,1;2025-01-02 10:52:59.121889;,-98,1.2,4.46419417062745,5.15068578720092
2025-01-02 10:53:21.457,1;2025-01-02 10:53:17.154030;,-105,-3.2,11.1440959044194,5.14061403274536
2025-01-02 10:54:23.735,1;2025-01-02 10:54:20.246676;,-105,2.2,3.72525713148856,5.14715671539306
2025-01-02 10:54:39.391,1;2025-01-02 10:54:38.278446;,-98,-7.0,14.8185194311,5.14817953109741
2025-01-02 10:55:05.580,1;2025-01-02 10:55:02.320910;,-98,2.5,8.85862019344044,5.14667105674743
2025-01-02 10:55:36.751,1;2025-01-02 10:55:35.359477;,-99,6.0,7.44287122646095,5.15290856361389
