Feature,Coefficient,Abs Coefficient
RainAccumulated,-108.46950332299228,108.46950332299228
Pressure,-13.666885151586284,13.666885151586284
KineticEnergy,-12.931703850938886,12.931703850938886
RadarReflectivity,0.47877194254879174,0.47877194254879174
Humidity,-0.3950683232840668,0.3950683232840668
Temperature,0.21638987148732183,0.21638987148732183
ParticlesDetected,0.1914614387660954,0.1914614387660954
WindSpeed,0.19075778459253054,0.19075778459253054
MORVisibility,0.0037033305612441413,0.0037033305612441413
RainRate,-2.732138594918989e-10,2.732138594918989e-10
