Variable 1,Variable 2,Variable 3,Correlation (r),R²
RainAccumulated,Pressure,RainAbsolute,0.45006746874274006,0.2025607264204973
Temperature,RainAccumulated,RainAbsolute,0.43975725421488876,0.1933864426346183
RainAccumulated,RainAbsolute,WindSpeed,0.43881902620808705,0.1925621377622138
Humidity,RainAccumulated,RainAbsolute,0.42849482663804456,0.18360781645556787
Temperature,Pressure,RainAbsolute,0.4252337549379154,0.18082374633859907
Temperature,RainAccumulated,Pressure,0.42523375493791526,0.18082374633859896
RainAccumulated,Pressure,WindSpeed,0.4156549085814051,0.17276900302781623
Pressure,RainAbsolute,WindSpeed,0.4156549085814051,0.17276900302781623
Temperature,RainAccumulated,WindSpeed,0.3896504021088876,0.15182743586361777
Temperature,RainAbsolute,WindSpeed,0.3896504021088876,0.15182743586361777
Humidity,Pressure,RainAbsolute,0.37735437702017594,0.1423963258562851
Humidity,RainAccumulated,Pressure,0.3773543770201759,0.14239632585628503
Humidity,RainAccumulated,WindSpeed,0.33763785604547386,0.11399932183498412
Humidity,RainAbsolute,WindSpeed,0.33763785604547386,0.11399932183498412
Temperature,Humidity,RainAccumulated,0.33160663120621936,0.10996295785993758
Temperature,Humidity,RainAbsolute,0.33160663120621936,0.10996295785993758
Humidity,Pressure,WindSpeed,-0.2984703414746811,0.08908454474001275
Temperature,Pressure,WindSpeed,-0.27442527144132683,0.07530922960564591
Temperature,Humidity,WindSpeed,-0.2708012334670976,0.07333330804730151
Temperature,Humidity,Pressure,-0.18187579847062055,0.03307880606932578
