Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Correlation (r),R²
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.3838560416671033,0.14734546072433694
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.38164512888507135,0.14565300440170273
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.38132925485517477,0.14541200060840284
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.38050926474927815,0.14478730056003625
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.38042908334283504,0.14472628745306973
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.38042908334283493,0.14472628745306965
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.38042908334283493,0.14472628745306965
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.37629347395806584,0.14159677854342959
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.3759603385874568,0.14134617619079518
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.37508633834922284,0.14068976121622767
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.3749963617705721,0.14062227134116578
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.3749385253503213,0.14057889779187352
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,0.374938525350321,0.14057889779187333
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.374938525350321,0.14057889779187333
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.3747695506069982,0.14045221606217137
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.37389631149448654,0.13979845174918212
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,0.3738375145443253,0.13975448728067863
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,0.3738375145443249,0.13975448728067832
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.3738375145443249,0.13975448728067832
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3731633279617657,0.13925086933550032
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3722722229940094,0.13858660801290149
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3721817569580184,0.1385192602123575
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,WindSpeed,0.3720791428170598,0.13844288851947797
