Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Correlation (r),R²
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.3856902067750678,0.14875693560219458
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainRate,0.3856599501054968,0.1487335971153743
Pressure,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.3856599501054968,0.1487335971153743
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.3856599501054964,0.14873359711537398
AverageParticleSpeed,Pressure,RainAbsolute,RainRate,VolumeEquivalentDiameter,0.3856288496022929,0.14870960964558783
AverageParticleSpeed,Pressure,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.3856288496022929,0.14870960964558783
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,RainRate,0.38495113185183505,0.14818737391400888
RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.38495113185183505,0.14818737391400888
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.38495113185183394,0.14818737391400805
Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,0.3849194232196381,0.1481629623717389
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,0.38491942321963774,0.1481629623717386
Pressure,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.38491942321963774,0.1481629623717386
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.3846878031804396,0.14798470591579263
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,0.38468780318043855,0.14798470591579183
KineticEnergy,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.38468780318043855,0.14798470591579183
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,0.38465543583285994,0.14795980431576744
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.38465543583285994,0.14795980431576744
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,0.38465543583285955,0.14795980431576713
AverageParticleSpeed,RainAbsolute,RainIntensity,RainRate,VolumeEquivalentDiameter,0.3841783594451033,0.147593011865931
AverageParticleSpeed,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.3841783594451033,0.147593011865931
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,0.38411090816370513,0.14754118977034633
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.38411090816370513,0.14754118977034633
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,RainRate,0.38411090816370497,0.1475411897703462
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,RainRate,0.38411090816370497,0.1475411897703462
Pressure,RainAbsolute,RainIntensity,RainRate,VolumeEquivalentDiameter,0.38411090816370497,0.1475411897703462
Pressure,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.38411090816370497,0.1475411897703462
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,0.38389010317936284,0.14737161131906185
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,0.3838901031793622,0.14737161131906135
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.3838901031793622,0.14737161131906135
