Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Correlation (r),R²
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.3849194232196381,0.1481629623717389
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.38465543583285955,0.14795980431576713
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.38389010317936284,0.14737161131906185
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,0.38385604166710335,0.147345460724337
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.38385604166710335,0.147345460724337
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.38385604166710297,0.14734546072433669
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3824802898595293,0.14629117213102957
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,VolumeEquivalentDiameter,0.38173734445682844,0.1457234001529513
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.38173734445682844,0.1457234001529513
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3817225364262865,0.14571209481571762
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.3816451288850715,0.14565300440170284
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.38164512888507135,0.14565300440170273
Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.38164512888507135,0.14565300440170273
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.38140748506273225,0.14547166966187833
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.3813292548551748,0.14541200060840287
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,WindSpeed,0.38132925485517477,0.14541200060840284
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.38132925485517477,0.14541200060840284
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.38050926474927815,0.14478730056003625
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.38050926474927815,0.14478730056003625
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.380509264749278,0.14478730056003614
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,WindSpeed,0.3804290833428351,0.14472628745306976
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.3804290833428351,0.14472628745306976
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.38042908334283493,0.14472628745306965
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.3772625405279036,0.1423270244855681
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.37634784424288475,0.14163769986626665
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,0.37629347395806584,0.14159677854342959
Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.37629347395806584,0.14159677854342959
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.3762934739580658,0.14159677854342953
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.376015627598473,0.14138775219827354
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.3759631910818757,0.14134832104846698
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.37596033858745703,0.14134617619079534
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,0.37596033858745687,0.1413461761907952
