Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Correlation (r),R²
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.3856599501054968,0.1487335971153743
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.38495113185183505,0.14818737391400888
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,0.3849194232196381,0.1481629623717389
Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.3849194232196381,0.1481629623717389
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.38491942321963774,0.1481629623717386
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.38468780318043855,0.14798470591579183
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.38465543583285994,0.14795980431576744
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,0.38465543583285955,0.14795980431576713
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.38465543583285955,0.14795980431576713
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,RainRate,VolumeEquivalentDiameter,0.38411090816370497,0.1475411897703462
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.38411090816370497,0.1475411897703462
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,0.38389010317936284,0.14737161131906185
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.38389010317936284,0.14737161131906185
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.3838901031793622,0.14737161131906135
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,0.38385604166710335,0.147345460724337
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,0.38385604166710297,0.14734546072433669
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.38385604166710297,0.14734546072433669
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainRate,VolumeEquivalentDiameter,0.3834876198380873,0.14706275456908138
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.3834876198380873,0.14706275456908138
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3825560088884338,0.1463490999366474
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainRate,WindSpeed,0.3824802898595293,0.14629117213102957
Pressure,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3824802898595293,0.14629117213102957
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.38248028985952887,0.1462911721310292
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainIntensity,RainRate,VolumeEquivalentDiameter,0.3818161861442139,0.145783600001713
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.3818161861442139,0.145783600001713
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,0.38173734445682844,0.1457234001529513
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,0.38173734445682844,0.1457234001529513
KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,VolumeEquivalentDiameter,0.38173734445682844,0.1457234001529513
KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.38173734445682844,0.1457234001529513
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,0.38173734445682816,0.14572340015295107
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.38173734445682816,0.14572340015295107
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.3817225364262865,0.14571209481571762
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.3817225364262865,0.14571209481571762
RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3817225364262865,0.14571209481571762
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,WindSpeed,0.3816451288850715,0.14565300440170284
Pressure,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.3816451288850715,0.14565300440170284
Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.38164512888507135,0.14565300440170273
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,WindSpeed,0.38140748506273225,0.14547166966187833
KineticEnergy,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.38140748506273225,0.14547166966187833
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.38140748506273214,0.14547166966187824
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,WindSpeed,0.3813292548551748,0.14541200060840287
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.3813292548551748,0.14541200060840287
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,WindSpeed,0.38132925485517477,0.14541200060840284
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.38050926474927815,0.14478730056003625
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,WindSpeed,0.380509264749278,0.14478730056003614
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.380509264749278,0.14478730056003614
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,WindSpeed,0.3804290833428351,0.14472628745306976
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.3773145645311576,0.14236628060733708
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,0.3772625405279036,0.1423270244855681
Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.3772625405279036,0.1423270244855681
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.3772625405279034,0.14232702448556797
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,0.37634784424288475,0.14163769986626665
RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.37634784424288475,0.14163769986626665
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.3763478442428847,0.1416376998662666
Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,0.37629347395806584,0.14159677854342959
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,0.3762934739580658,0.14159677854342953
Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.3762934739580658,0.14159677854342953
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.37601692835936323,0.1413887304128105
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,0.376015627598473,0.14138775219827354
KineticEnergy,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.376015627598473,0.14138775219827354
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.3760156275984724,0.14138775219827307
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.37596319108187604,0.14134832104846723
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainRate,Temperature,0.3759631910818757,0.14134832104846698
Pressure,RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.3759631910818757,0.14134832104846698
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,0.37596033858745703,0.14134617619079534
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.37596033858745703,0.14134617619079534
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,0.37596033858745687,0.1413461761907952
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,0.3751420661496903,0.14073156979505863
RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.3751420661496903,0.14073156979505863
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,0.3751420661496901,0.14073156979505846
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,Temperature,0.3750863383492229,0.14068976121622773
Pressure,RainAbsolute,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,0.3750863383492229,0.14068976121622773
Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,0.37508633834922284,0.14068976121622767
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,0.37499636177057205,0.14062227134116576
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,0.37499636177057044,0.14062227134116453
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.37499636177057044,0.14062227134116453
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,0.3749385253503213,0.14057889779187352
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.3748261398052147,0.14049463508127832
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,Temperature,0.3748261398052145,0.1404946350812782
KineticEnergy,RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.3748261398052145,0.1404946350812782
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,Temperature,0.3747695506069982,0.14045221606217137
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,Temperature,0.3747695506069982,0.14045221606217137
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.3747695506069982,0.14045221606217137
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,0.37389631149448654,0.13979845174918212
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,Temperature,0.3738963114944863,0.13979845174918196
