Variable 1,Variable 2,Variable 3,Correlation (r),R²
RainAccumulated,Pressure,RainAbsolute,0.3856599501054964,0.14873359711537398
RainAccumulated,RainAbsolute,WindSpeed,0.3825560088884339,0.1463490999366475
Temperature,RainAccumulated,RainAbsolute,0.37601692835936346,0.14138873041281066
RainAccumulated,Pressure,WindSpeed,0.37013887563950365,0.13700278725967596
Pressure,RainAbsolute,WindSpeed,0.37013887563950365,0.13700278725967596
Temperature,Pressure,RainAbsolute,0.3630352429198232,0.13179458760185503
Temperature,RainAccumulated,Pressure,0.36303524291982314,0.131794587601855
Humidity,RainAccumulated,RainAbsolute,0.3562865098345975,0.12694007709011873
Temperature,RainAccumulated,WindSpeed,0.3458451118326428,0.11960884137853323
Temperature,RainAbsolute,WindSpeed,0.3458451118326428,0.11960884137853323
Humidity,RainAccumulated,Pressure,0.30184467637395906,0.09111020865530008
Humidity,Pressure,RainAbsolute,0.301844676373959,0.09111020865530005
Humidity,RainAccumulated,WindSpeed,0.27985403333510966,0.07831827997392866
Humidity,RainAbsolute,WindSpeed,0.27985403333510966,0.07831827997392866
Humidity,Pressure,WindSpeed,-0.2693840992081925,0.07256779290620931
Temperature,Humidity,RainAccumulated,0.26270358036071095,0.06901317113433651
Temperature,Humidity,RainAbsolute,0.26270358036071095,0.06901317113433651
Temperature,Humidity,WindSpeed,-0.24562762931394747,0.060332932282389985
Temperature,Pressure,WindSpeed,-0.2028996029141507,0.04116824886272004
Temperature,Humidity,Pressure,-0.1903412427849573,0.03622978870492206
