Variable 1,Variable 2,Variable 3,Correlation (r),R²
RainAccumulated,RainAbsolute,WindSpeed,0.3143732636089023,0.09883054887211236
RainAccumulated,Pressure,RainAbsolute,0.31240295872315205,0.09759560861897944
RainIntensity,RainAccumulated,RainAbsolute,0.31136087432485465,0.09694559406033794
RainIntensity,RainAccumulated,Pressure,0.3102529734474739,0.09625690753299893
RainIntensity,Pressure,RainAbsolute,0.3102529734474739,0.09625690753299893
RainAccumulated,Pressure,WindSpeed,0.30926256137071284,0.09564333186557393
Pressure,RainAbsolute,WindSpeed,0.30926256137071284,0.09564333186557393
RainIntensity,RainAccumulated,WindSpeed,0.30694118380340274,0.09421289031463427
RainIntensity,RainAbsolute,WindSpeed,0.30694118380340274,0.09421289031463427
SnowDepthIntensity,RainAccumulated,RainAbsolute,0.3012471856071035,0.09074986683620068
Temperature,RainAccumulated,RainAbsolute,0.301137188386147,0.09068360622911378
SnowDepthIntensity,RainAccumulated,Pressure,0.28761035567081067,0.08271971668909021
SnowDepthIntensity,Pressure,RainAbsolute,0.28761035567081067,0.08271971668909021
Temperature,Pressure,RainAbsolute,0.2872534834260388,0.08251456374039354
Temperature,RainAccumulated,Pressure,0.2872534834260386,0.08251456374039344
SnowDepthIntensity,RainIntensity,RainAccumulated,0.28503940347598805,0.08124746153394712
SnowDepthIntensity,RainIntensity,RainAbsolute,0.28503940347598805,0.08124746153394712
RainIntensity,Temperature,RainAccumulated,0.2849130451569499,0.08117544330060615
RainIntensity,Temperature,RainAbsolute,0.2849130451569499,0.08117544330060615
Temperature,RainAccumulated,WindSpeed,0.2818643403547016,0.07944750636359106
Temperature,RainAbsolute,WindSpeed,0.2818643403547016,0.07944750636359106
SnowDepthIntensity,RainAccumulated,WindSpeed,0.28087377600818925,0.07889007804909846
SnowDepthIntensity,RainAbsolute,WindSpeed,0.28087377600818925,0.07889007804909846
Humidity,RainAccumulated,RainAbsolute,0.27261737182075246,0.0743202314184544
SnowDepthIntensity,Temperature,RainAccumulated,0.26073999937709225,0.06798534727516606
SnowDepthIntensity,Temperature,RainAbsolute,0.26073999937709225,0.06798534727516606
Humidity,Pressure,WindSpeed,-0.256502629343881,0.06579359886032442
RainIntensity,Humidity,WindSpeed,-0.2545813379955653,0.06481165765561227
