Variable 1,Variable 2,Variable 3,Variable 4,Correlation (r),R²
AverageParticleSpeed,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.385690206775068,0.1487569356021947
AverageParticleSpeed,RainAbsolute,RainRate,VolumeEquivalentDiameter,0.385690206775068,0.1487569356021947
AverageParticleSpeed,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.385690206775068,0.1487569356021947
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainRate,0.3856902067750678,0.14875693560219458
RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.3856902067750678,0.14875693560219458
Pressure,RainAbsolute,RainAccumulated,RainRate,0.3856599501054968,0.1487335971153743
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,0.3856599501054964,0.14873359711537398
Pressure,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.3856599501054964,0.14873359711537398
AverageParticleSpeed,Pressure,RainAbsolute,RainRate,0.3856288496022929,0.14870960964558783
AverageParticleSpeed,Pressure,RainAccumulated,RainRate,0.3856288496022929,0.14870960964558783
Pressure,RainAbsolute,RainRate,VolumeEquivalentDiameter,0.3856288496022929,0.14870960964558783
Pressure,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.3856288496022929,0.14870960964558783
AverageParticleSpeed,Pressure,RainAbsolute,VolumeEquivalentDiameter,0.3856288496022928,0.14870960964558777
AverageParticleSpeed,Pressure,RainAccumulated,VolumeEquivalentDiameter,0.3856288496022928,0.14870960964558777
RainAbsolute,RainAccumulated,RainIntensity,RainRate,0.38495113185183505,0.14818737391400888
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,0.38495113185183394,0.14818737391400805
RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.38495113185183394,0.14818737391400805
Pressure,RainAbsolute,RainAccumulated,RainIntensity,0.38491942321963774,0.1481629623717386
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,0.3846878031804396,0.14798470591579263
KineticEnergy,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.3846878031804396,0.14798470591579263
